ID,Name,St.No.,Street Name,City,State,Zip,Municipality,Category
244,Alioto&#39;s,17,Grant Avenue,Pittsburgh,PA,15223,Etna,Restaurant with Liquor
245,All In Good Taste Productions &amp; Sendall Chocolates,1520,Monterey  Street,Pittsburgh,PA,15212,Pittsburgh-125,Caterer
246,All India,315,Craig Street,Pittsburgh,PA,15213,Pittsburgh-105,Restaurant without Liquor
247,All Saints Polish National Catholic Church,514,3rd  Avenue,Carnegie,PA,15106,Carnegie,Church Kitchen
248,All Star Sports Bar &amp; Grill,6302,Robinson Center Drive,Pittsburgh,PA,15205,Robinson,Restaurant with Liquor
249,All The Best Catering / Pittsburgh BBQ,1000,Banksville Avenue,Pittsburgh,PA,15216,Pittsburgh-120,Caterer
250,Alla Famiglia,804,E Warrington Ave,Pittsburgh,PA,15210,Pittsburgh-118,Restaurant without Liquor
251,Allegheny 6 Pack &amp; Doghouse,1301,Pittsburgh Street,Cheswick,PA,15024,Cheswick,Restaurant with Liquor
252,Allegheny Center Alliance Childrens Rooms,4,Allegheny Center / 3rd Fl,Pittsburgh,PA,15212,Pittsburgh-122,Church Kitchen
253,Allegheny Center Alliance Church,250,Ohio Street,Pittsburgh,PA,15212,Pittsburgh-122,Adult Food Service
254,Allegheny City Brewing ,507,Foreland  Street,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant with Liquor
255,Allegheny City Market,1327,Arch Street,Pittsburgh,PA,15212,Pittsburgh-122,Retail/Convenience Store
256,Allegheny Coffee &amp; Tea Exchange,2005,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Retail/Convenience Store
257,Allegheny Cold Storage Plant,16,57th St,Pittsburgh,PA,15201,Pittsburgh-110,Refrigerated Warehouse
258,Allegheny Country Rifle Club,99,Schuetzen Park Rd,Pittsburgh,PA,15209,Ross,Restaurant with Liquor
259,Allegheny County Jail,950,2nd Avenue,Pittsburgh,PA,15219,Pittsburgh-101,Adult Food Service
260,Allegheny General Auxiliary Coffee Cart,320,North Avenue,Pittsburgh,PA,15212,Pittsburgh-122,Hospital Gov University (limited)
261,Allegheny General Hospital,320,North Avenue,Pittsburgh,PA,15212,Pittsburgh-122,Hospital/Other Institution
262,Allegheny HYP Club,619,Wm Penn Place,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant with Liquor
263,Allegheny Ice Cream / Lock &amp; Dam Dog Shop,7331,Butler Street,Pittsburgh,PA,15206,Pittsburgh-110,Restaurant without Liquor
264,Allegheny Sandwich Shop,414,Grant St,Pittsburgh,PA,15219,Pittsburgh-101,Chain Restaurant without Liquor
265,Allegheny Sandwich Shoppe  #3,440,Ross St,Pittsburgh,PA,15219,Pittsburgh-101,Chain Restaurant without Liquor
266,Allegheny Valley Association of Churches Food Bank,1913,Freeport Road,Natrona Heights,PA,15065,Harrison,Food Banks/ Food Pantries
267,Allegheny Valley Hospital,1301,Carlisle Street,Natrona Heights,PA,15065,Harrison,Hospital/Other Institution
268,Allegheny Valley Hospital Carlisle Cafe,1301,Carlisle  Street,Natrona Heights,PA,15065,Harrison,Hospital/Other Institution
269,Allegheny Valley VFC Station #1 - Harwick,851,Parkway Drive,Harwick,PA,15049,Springdale Borough,Adult Food Service
270,Allegheny Valley VFC Station #2 (Harmar),1000,Freeport Road,Cheswick,PA,15024,Harmar,Firehall without Liquor
271,Allegro Hearth Bakery,2034,Murray Ave,Pittsburgh,PA,15217,Pittsburgh-114,Bakery
272,Allentown Adult Day Care / Henry Kaufmann Neighborhood House,2201,Salisbury Street,Pittsburgh,PA,15210,Pittsburgh-116,Adult Food Service
273,Allentown Senior Citizen&#39;s Center,631,Warrington Avenue,Pittsburgh,PA,15210,Pittsburgh-118,Adult Food Service
274,Allison Park Assembly Of God Church,2326,Duncan Ave,Allison Park,PA,15101,Hampton,Church Kitchen
275,Allison Park Mini Market ,1675,Duncan  Avenue,Allison Park,PA,15101,McCandless,Retail/Convenience Store
276,Alpha Chi Omega,1069,Morewood  Avenue,Pittsburgh,PA,15213,Pittsburgh-114,Hospital Gov University (limited)
277,Alpha Epsilon Pi,1091,Morewood Ave,Pittsburgh,PA,15213,Pittsburgh-114,Hospital Gov University (limited)
278,Alpha Ice Complex,66,Alpha Dr West,Pittsburgh,PA,15238,Harmar,Ice Arena
279,Alpha Ice Restaurant ,66,Alpha Drive West,Pittsburgh,PA,15238,Harmar,Restaurant without Liquor
280,Alphabet Tree,500,Center Avenue,Pittsburgh,PA,15238,Blawnox,Child Food Service
281,Alpine Hunting &amp; Fishing Club,220,Alpine Road,Bridgeville,PA,15017,South Fayette,Restaurant with Liquor
282,Alstan Mini Mart,2516,Monroeville Blvd,Monroeville,PA,15146,Monroeville,Retail/Convenience Store
283,Altius,1230,Grandview Ave,Pittsburgh,PA,15211,Pittsburgh-119,Restaurant with Liquor
284,Amato&#39;s,376,Butler Street,Pittsburgh,PA,15223,Etna,Restaurant without Liquor
285,Amazing Values,200,Loews Drive,North Versailles,PA,15137,North Versailles,Packaged Food Only
286,Amazing Wok,2910,W Liberty Avenue,Pittsburgh,PA,15216,Dormont,Restaurant without Liquor
287,Amazing Yoga Cafe ,1506,E Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant without Liquor
288,Amel&#39;s Restaurant &amp; Lounge,435,McNeilly Rd,Pittsburgh,PA,15226,Baldwin Twp,Restaurant with Liquor
289,America&#39;s Wholesale Outlet,200,Loews Drive,North Versailles,PA,15137,North Versailles,Packaged Food Only
290,American Academy of Culinary Arts,1111,Mckee Road,Oakdale,PA,15071,North Fayette,University Food Service
291,American Airlines Commissary,104,Hangar Road,Pittsburgh,PA,15231,Findlay,Warehouse
292,American Croatian Polit Benefit Club,705,Cornell St,Mc Keesport,PA,15132,McKeesport,Social Club-Bar Only
293,American Croation Club of Duquesne,1111,W Grant Ave,Duquesne,PA,15110,Duquesne,Restaurant with Liquor
294,American Dollar,1412,Radford Road,Pittsburgh,PA,15227,Whitehall,Packaged Food Only
295,American Greetings Sp#2890,100,Robinson Center Drive,Pittsburgh,PA,15205,Robinson,Chain Packaged Food Only
296,American Hungarian Social Assn,936,8th  Avenue,Homestead,PA,15120,Munhall,Social Club-Bar Only
297,American Joe&#39;s,2105,Walnut St,Mc Keesport,PA,15132,McKeesport,Chain Retail/Convenience Store
298,American Legion #527,103,W Braddock Ave,Braddock,PA,15104,Rankin,Restaurant with Liquor
299,American Legion George Walter Jr Post #106,1332,N Canal St,Pittsburgh,PA,15215,Sharpsburg,Restaurant with Liquor
300,American Legion Home Assn #820,4339,Old Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Restaurant with Liquor
301,American Legion Memorial Home Post #290,33,Dorsey St,Bridgeville,PA,15017,Scott,Social Club-Bar Only
302,American Legion Post #116,327,Home Avenue,Pittsburgh,PA,15202,Avalon,Adult Food Service
303,American Legion Post #380,51,Duquesne Avenue,Dravosburg,PA,15034,Dravosburg,Social Club-Bar Only
304,American Legion Post #447,304,Gumbert St,Mc Keesport,PA,15133,Portvue,Social Club-Bar Only
305,American Legion Post #48,59,Garfield Street,Natrona Heights,PA,15065,Harrison,Restaurant with Liquor
306,American Legion Post #490,1008,Castle Shannon Blvd,Pittsburgh,PA,15234,Castle Shannon,Restaurant with Liquor
307,American Legion Post #54,325,Station Street,Bridgeville,PA,15017,Bridgeville,Social Club-Bar Only
308,American Legion Post #565,1546,Hatteras St,Pittsburgh,PA,15212,Pittsburgh-124,Social Club-Bar Only
309,American Legion Post #600 / Oakmont,650,Isabella Street,Oakmont,PA,15139,Oakmont,Restaurant with Liquor
310,American Legion Post #712,650,Old Clairton Rd,Pittsburgh,PA,15236,Pleasant Hills,Restaurant with Liquor
311,American Legion Post #75,660,Miller Ave,Clairton,PA,15025,Clairton,Restaurant with Liquor
312,American Legion Post #760,2409,Bethel Church Rd,Bethel Park,PA,15102,Bethel Park,Social Club-Bar Only
313,American Legion Post #77,233,Commercial  Avenue,Pittsburgh,PA,15215,Aspinwall,Social Club-Bar Only
314,American Legion Post #82,421,Jane  Street,Carnegie,PA,15106,Carnegie,Social Club-Bar Only
315,American Legion Post #935,280,Joseph St,Pittsburgh,PA,15227,Baldwin Boro,Restaurant with Liquor
316,American Legion Post #980,7824,Saltsburg Rd,Pittsburgh,PA,15239,Plum,Restaurant with Liquor
317,American Legion Post / Manchester,172,6th Ave,Pittsburgh,PA,15229,Ross,Restaurant with Liquor
318,American Legion West Deer - Post #593,57,Superior Road,Gibsonia,PA,15044,West Deer,Social Club-Bar Only
319,American Natural ,73,Carson Street,Pittsburgh,PA,15219,Pittsburgh-117,Chain Retail/Convenience Store
320,American Natural #12,103,22nd Avenue,Homestead,PA,15120,Munhall,Chain Retail/Convenience Store
321,American Natural #14,2619,Wexford Bayne Road,Sewickley,PA,15143,Franklin Park,Chain Retail/Convenience Store
322,American Natural #2,7338,Butler Street,Pittsburgh,PA,15206,Pittsburgh-110,Chain Retail/Convenience Store
323,American Natural #5,3800,Walnut Street,Mc Keesport,PA,15132,McKeesport,Chain Retail/Convenience Store
324,American Natural #9,5738,Smithfield Street,Mc Keesport,PA,15135,Elizabeth Township,Chain Retail/Convenience Store
325,American Russian National Home,332,E 8th Ave,Homestead,PA,15120,Homestead,Social Club-Bar Only
326,American Serbian Club of Pittsburgh,2524,Sarah St,Pittsburgh,PA,15203,Pittsburgh-116,Social Club-Bar Only
327,American Slovak Citizens Club,160,Dahlia St,Homestead,PA,15120,Munhall,Social Club-Bar Only
328,American Slovak Protective Society East Deer,735,Freeport Road,Creighton,PA,15030,East Deer,Social Club-Bar Only
329,American Slovenian Citizens - ACME Club,230,Herron Avenue,Cheswick,PA,15024,Harmar,Restaurant with Liquor
330,American Ukranian Citizens Club Wilmerding,113,Watkins Ave,Wilmerding,PA,15148,Wilmerding,Social Club-Bar Only
331,American Vets Of WWII Post #64,229,45th St,Pittsburgh,PA,15201,Pittsburgh-109,Social Club-Bar Only
332,Amili&#39;s Pizzeria,2816,Golden Mile Highway,Pittsburgh,PA,15239,Plum,Restaurant without Liquor
333,Amili&#39;s Pizzeria,1021,Brownsville  Road,Pittsburgh,PA,15210,Pittsburgh-129,Chain Restaurant without Liquor
334,Ammon Recreation Center,2217,Bedford Ave,Pittsburgh,PA,15219,Pittsburgh-105,Child Food Service
335,Amo&#39;s Pizza,2570,Woodstock Ave,Pittsburgh,PA,15218,Swissvale,Restaurant without Liquor
336,Amsler&#39;s Pharmacy,818,Warrington Avenue,Pittsburgh,PA,15210,Pittsburgh-118,Packaged Food Only
337,Amvets Post #8 of McKeesport,100,Lawrence Avenue,Mc Keesport,PA,15132,North Versailles,Social Club-Bar Only
338,Amy&#39;s Hallmark #756,545,B Caste Village,Pittsburgh,PA,15236,Whitehall,Chain Packaged Food Only
339,Amy&#39;s Hallmark Shop #682,2377,Mountain View  Drive,West Mifflin,PA,15122,West Mifflin,Packaged Food Only
340,Ana&#39;s Vietnamese Cuisine,256,Craig Street,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor
341,Anar Gourmet Foods,2312,Main Street,Pittsburgh,PA,15215,Sharpsburg,Food Processor
342,Anar Gourmet Foods,1965,Ferguson Road,Allison Park,PA,15101,Hampton,Food Processor
343,Anathan Club Adult Day Services,300,JHF Drive,Pittsburgh,PA,15217,Pittsburgh-115,Adult Food Service
344,Anchor &amp; Anvil Coffee,7221,Church Street,Pittsburgh,PA,15202,Ben Avon,Restaurant without Liquor
345,Anchor Inn,2202,Freeport Road,Natrona Heights,PA,15065,Harrison,Restaurant with Liquor
346,Ancient Order Hiberians #23,5203,Carnegie St,Pittsburgh,PA,15201,Pittsburgh-110,Social Club-Bar Only
347,Andora Fox Chapel,599,Dorseyville Road,Pittsburgh,PA,15238,Indiana,Chain Restaurant with Liquor
348,Andora Restaurant Sewickley,1616,Mt Nebo  Road,Sewickley,PA,15143,Ohio,Chain Restaurant with Liquor
349,Andy&#39;s Sushi Bar  Kiosk,1711,Penn Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Restaurant without Liquor
350,Angel&#39;s Place,600,Fordham Ave,Pittsburgh,PA,15226,Pittsburgh-119,Child Food Service
351,Angel&#39;s Place,2615,Norwood Ave,Pittsburgh,PA,15214,Pittsburgh-126,Child Food Service
352,Angelia&#39;s Dough Co,103-A,International Drive,Oakdale,PA,15071,North Fayette,Food Processor
353,Angelia&#39;s Grille,1817,McKees Rocks  Road,Mc Kees Rocks,PA,15136,Kennedy,Restaurant with Liquor
354,Angelia&#39;s Pizza,202,Moon Clinton Road,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor
355,Angelia&#39;s Pizza / Chill Frozen Desserts,410,Penn Lincoln  Drive,Imperial,PA,15126,North Fayette,Chain Restaurant without Liquor
356,Angelina&#39;sPizza,109,Brookline Blvd,Pittsburgh,PA,15226,Pittsburgh-119,Restaurant without Liquor
357,Angelo&#39;s Pizzeria,4766,Liberty Ave,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant without Liquor
358,Angels&#39; Ark Learning Center,715,Freeport Road,Cheswick,PA,15024,Harmar,Child Food Service
359,Angels&#39; Place / Swissvale,2538,Woodstock Ave,Pittsburgh,PA,15218,Swissvale,Child Food Service
360,Angie&#39;s Italian Food,111,Middle Ave,Wilmerding,PA,15148,Wilmerding,Restaurant without Liquor
361,Angie&#39;s Treats,317,Anthon Drive,Pittsburgh,PA,15235,Penn Hills,Mobile
362,Angkor,2350,Noblestown  Road,Pittsburgh,PA,15205,Pittsburgh-128,Restaurant without Liquor
363,Anlauf&#39;s Sunoco,214,Rodi Rd,Pittsburgh,PA,15235,Penn Hills,Chain Retail/Convenience Store
364,Ann&#39;s Market,2316,Webster Ave,Pittsburgh,PA,15219,Pittsburgh-105,Retail/Convenience Store
365,Ann&#39;s Restaurant &amp; Lounge,2783,South Park Road,Bethel Park,PA,15102,Bethel Park,Restaurant with Liquor
366,Anne Ashley Memorial UMC,334,22nd Avenue,Homestead,PA,15120,Munhall,Child Food Service
367,Annie&#39;s Hitching Post,314,Portvue Avenue,Mc Keesport,PA,15133,Portvue,Restaurant with Liquor
368,Anthony Jr&#39;s Pizza &amp; Deli,1024,5th,Coraopolis,PA,15108,Coraopolis,Restaurant with Liquor
369,Anthony&#39;s Coal Fired Pizza,2740,Stroschein Road,Monroeville,PA,15146,Monroeville,Chain Restaurant with Liquor
370,Anthony&#39;s Coal Fired Pizza,1810,Settlers Ridge Center Drive,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor
371,Anthony&#39;s Original,923,5th Ave,Coraopolis,PA,15108,Coraopolis,Warehouse
372,Anthony&#39;s Pizza ,1820,Brownsville  Road,Pittsburgh,PA,15210,Pittsburgh-129,Restaurant without Liquor
373,Anthonys Pizza,413,Grant  Avenue,Pittsburgh,PA,15209,Millvale,Restaurant without Liquor
374,Antney&#39;s Ice Cream,1316,Poplar St,Pittsburgh,PA,15205,Pittsburgh-128,Chain Restaurant without Liquor
375,Antonio&#39;s Pizza,758,Brookline Blvd,Pittsburgh,PA,15226,Pittsburgh-119,Restaurant without Liquor
376,Antoon&#39;s Pizza Shop,247,Atwood St,Pittsburgh,PA,15213,Pittsburgh-104,Restaurant without Liquor
377,Any Given Sundae,2612,Brandt School Road,Wexford,PA,15090,Franklin Park,Restaurant without Liquor
378,Anytime Market,730,Broadway Avenue,Mc Kees Rocks,PA,15136,Stowe,Retail/Convenience Store
379,Apoidea Apiary,239,Parker Street,Pittsburgh,PA,15223,Shaler,Food Processor
380,Apollo Cafe,429,Forbes Avenue,Pittsburgh,PA,15219,Pittsburgh-102,Restaurant without Liquor
381,Appian Way Cafe &amp; Lounge,418,Moon Clinton Rd,Coraopolis,PA,15108,Moon,Restaurant with Liquor
382,Apple Cookie &amp; Chocolate Co,501,Braddock  Avenue,Turtle Creek,PA,15145,East Pittsburgh,Food Processor
383,Apple Harvest Deli &amp; Catering,1122,3rd Street,North Versailles,PA,15137,North Versailles,Restaurant without Liquor
384,Apple Inn,2895,W Liberty  Avenue,Pittsburgh,PA,15216,Dormont,Restaurant with Liquor
385,Applebee&#39;s Neighborhood Grill &amp; Bar #2010013,1050,Village Center Drive,Tarentum,PA,15084,Frazer,Chain Restaurant with Liquor
386,Applebee&#39;s Neighborhood Grill &amp; Bar #2010018,525,Grandview Crossing  Drive,Gibsonia,PA,15044,Richland,Chain Restaurant with Liquor
387,Applebee&#39;s Neighborhood Grill &amp; Bar #2020011,2101,Greentree Road,Pittsburgh,PA,15220,Scott,Chain Restaurant with Liquor
388,Applebee&#39;s Neighborhood Grill &amp; Bar #2020012,4801,McKnight  Road,Pittsburgh,PA,15237,Ross,Chain Restaurant with Liquor
389,Applebee&#39;s Neighborhood Grill &amp; Bar #2020013,1601,S Braddock Ave,Pittsburgh,PA,15218,Edgewood,Chain Restaurant with Liquor
390,Applebee&#39;s Neighborhood Grill &amp; Bar #2020014,2045,Lebanon Church  Road,West Mifflin,PA,15122,West Mifflin,Chain Restaurant with Liquor
391,Applebee&#39;s Neighborhood Grill &amp; Bar #2020017,3440,Wm Penn  Highway,Pittsburgh,PA,15235,Wilkins,Chain Restaurant with Liquor
392,Applebee&#39;s Neighborhood Grill &amp; Bar #2020021,6570,Steubenville Pike,Pittsburgh,PA,15205,Robinson,Chain Restaurant with Liquor
393,Applelicious,415,W Main St,Carnegie,PA,15106,Carnegie,Food Processor
394,Aprimo Pizza,516,Brownsville Rd,Pittsburgh,PA,15210,Mt Oliver,Restaurant without Liquor
395,Apsara Cafe,1703,Carson Street,Pittsburgh,PA,15203,Pittsburgh-117,Restaurant without Liquor
396,Apteka ,4606,Penn  Avenue,Pittsburgh,PA,15224,Pittsburgh-109,Restaurant with Liquor
397,Aquila Bakery,1545,King James Drive,Pittsburgh,PA,15237,Franklin Park,Bakery
398,Aquinas Academy,2308,West Hardies Road,Gibsonia,PA,15044,Hampton,School Full Service Kitchen
399,Arancini House ,615,Washington Rd,Pittsburgh,PA,15228,Mt Lebanon,Restaurant without Liquor
400,Arbuckle Coffee,745,Railroad Street,Verona,PA,15147,Verona,Warehouse
401,Arby&#39;s,1617,Freeport Road,Natrona Heights,PA,15065,Harrison,Chain Restaurant without Liquor
402,Arby&#39;s #1203,2251,Noblestown Rd,Pittsburgh,PA,15205,Pittsburgh-128,Chain Restaurant without Liquor
403,Arby&#39;s #1414,6192,Steubenville Pike,Mc Kees Rocks,PA,15136,Robinson,Chain Restaurant without Liquor
404,Arby&#39;s #164,3417,Forbes Ave,Pittsburgh,PA,15213,Pittsburgh-104,Chain Restaurant without Liquor
405,Arby&#39;s #1691,5030,Wm Flynn Hwy,Gibsonia,PA,15044,Hampton,Chain Restaurant without Liquor
406,Arby&#39;s #1773,19075,Perry Highway,Mars,PA,16046,Marshall,Chain Restaurant without Liquor
407,Arby&#39;s #1853,3700,Library  Road,Pittsburgh,PA,15234,Castle Shannon,Chain Restaurant without Liquor
408,Arby&#39;s #1854,1911,S Braddock Ave,Pittsburgh,PA,15218,Swissvale,Chain Restaurant without Liquor
409,Arby&#39;s #1858,6105,Saltsburg Rd,Verona,PA,15147,Penn Hills,Chain Restaurant without Liquor
410,Arby&#39;s #42,1378,Banksville Road,Pittsburgh,PA,15216,Pittsburgh-120,Chain Restaurant without Liquor
411,Arby&#39;s #6941,2040,Lebanon Church Rd,West Mifflin,PA,15122,West Mifflin,Chain Restaurant without Liquor
412,Arby&#39;s #7345,4260,Ohio River Blvd,Pittsburgh,PA,15202,Bellevue,Chain Restaurant without Liquor
413,Arby&#39;s #7502,1804,Golden Mile Hwy / Rt 286,Pittsburgh,PA,15239,Plum,Chain Restaurant without Liquor
414,Arby&#39;s #7548,450,Clairton Boulevard,Pittsburgh,PA,15236,Pleasant Hills,Chain Restaurant without Liquor
415,Arby&#39;s #7550,4810,McKnight Road,Pittsburgh,PA,15237,Ross,Chain Restaurant without Liquor
416,Arby&#39;s #7633,5205,Library  Road,Bethel Park,PA,15102,Bethel Park,Chain Restaurant without Liquor
417,Arby&#39;s #7678,2831,Jacks Run Rd,Mc Keesport,PA,15131,White Oak,Chain Restaurant without Liquor
418,Arby&#39;s #8,3974,Wm Penn Hwy,Monroeville,PA,15146,Monroeville,Chain Restaurant without Liquor
419,Arby&#39;s #8042,9100,University Blvd,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor
420,Arby&#39;s #836,1140,Washington Pike,Bridgeville,PA,15017,Collier,Chain Restaurant without Liquor
421,Arby&#39;s #8436,808,Liberty  Avenue,Pittsburgh,PA,15222,Pittsburgh-102,Chain Restaurant without Liquor
422,Archie&#39;s,2328,E Carson St,Pittsburgh,PA,15203,Pittsburgh-116,Restaurant with Liquor
423,Arctic Avenue,3446,5th Avenue,North Versailles,PA,15137,North Versailles,Restaurant without Liquor
424,Ardolino&#39;s Pizza,1141,Boyce Rd,Pittsburgh,PA,15241,Upper St Clair,Restaurant without Liquor
425,Area 51 BBQ,4871,Clairton Boulevard,Pittsburgh,PA,15236,Baldwin Boro,Restaurant without Liquor
426,Argonne Inn,1257,Argonne Drive,Natrona Heights,PA,15065,Harrison,Restaurant with Liquor
427,Arista Catering &amp; Event Planning,985,Providence Boulevard,Pittsburgh,PA,15237,McCandless,Transient Caterer
428,Arlington Pre K - 8 Kitchen,800,Rectenwald Street,Pittsburgh,PA,15210,Pittsburgh-116,School Full Service Kitchen
429,Arlington Rec Center,2201,Salisbury  Street,Pittsburgh,PA,15203,Pittsburgh-116,Child Food Service
430,Arlington Vets Association,1751,Arlington Ave,Pittsburgh,PA,15210,Pittsburgh-117,Social Club-Bar Only
431,Armand&#39;s Bar,4755,Liberty Ave,Pittsburgh,PA,15224,Pittsburgh-108,Restaurant with Liquor
432,Armstrong&#39;s Express,609,Washington  Avenue,Bridgeville,PA,15017,Bridgeville,Chain Restaurant without Liquor
433,Armstrong&#39;s Restaurant,1136,Thorn Run Rd Ext,Coraopolis,PA,15108,Moon,Chain Restaurant without Liquor
434,Armstrong&#39;s Restaurant,5301,Grove (at Baptist / Caste Village) Road,Pittsburgh,PA,15236,Whitehall,Chain Restaurant with Liquor
435,Arnold&#39;s Market,1498,Center Avenue,Pittsburgh,PA,15229,West View,Retail/Convenience Store
436,Arnold&#39;s Tea,502,E Ohio Street,Pittsburgh,PA,15212,Pittsburgh-123,Restaurant without Liquor
437,Around The Corner Bar &amp; Grill,1707,Babcock Blvd,Pittsburgh,PA,15209,Shaler,Restaurant with Liquor
438,Arpino Trattoria,1910,Cochran Road,Pittsburgh,PA,15220,Scott,Restaurant without Liquor
439,Arriba Wine Bar @ Engine House 25,3337,Penn Avenue,Pittsburgh,PA,15201,Pittsburgh-106,Restaurant with Liquor
440,Arrowhead Snack Bar,800,Rock Run Rd,Elizabeth,PA,15037,Elizabeth Township,Retail/Convenience Store
